question_index,question_id,gold_answer,all_hot_extracted_answer,mixed_extracted_answer,all_hot_extraction_success,mixed_extraction_success,all_hot_exact_match,mixed_exact_match,all_hot_generated_token_count,mixed_generated_token_count,token_sequences_identical,extracted_answers_identical,correctness_category,batch_number,start_index,all_hot_execution_status,mixed_execution_status,all_hot_answer_outcome,mixed_answer_outcome,batch
13,gsm8k-0013,18,4,4,True,True,False,False,387,387,True,True,both_incorrect,3,10,completed,completed,incorrect,incorrect,batch_03_start_010
14,gsm8k-0014,60,60,60,True,True,True,True,203,215,False,True,both_correct,3,10,completed,completed,exact_match,exact_match,batch_03_start_010
15,gsm8k-0015,125,8096,125,True,True,False,True,250,312,False,False,only_mixed_correct,4,15,completed,completed,incorrect,exact_match,batch_04_start_015
16,gsm8k-0016,230,230,230,True,True,True,True,73,73,True,True,both_correct,4,15,completed,completed,exact_match,exact_match,batch_04_start_015
17,gsm8k-0017,57500,1150,1150,True,True,False,False,145,145,True,True,both_incorrect,4,15,completed,completed,incorrect,incorrect,batch_04_start_015
18,gsm8k-0018,7,84,84,True,True,False,False,62,62,True,True,both_incorrect,4,15,completed,completed,incorrect,incorrect,batch_04_start_015
19,gsm8k-0019,6,3,3,True,True,False,False,114,136,False,True,both_incorrect,4,15,completed,completed,incorrect,incorrect,batch_04_start_015
20,gsm8k-0020,15,33,18,True,True,False,False,324,332,False,False,both_incorrect,5,20,completed,completed,incorrect,incorrect,batch_05_start_020
21,gsm8k-0021,14,23,23,True,True,False,False,140,140,True,True,both_incorrect,5,20,completed,completed,incorrect,incorrect,batch_05_start_020
22,gsm8k-0022,7,7,7,True,True,True,True,110,110,True,True,both_correct,5,20,completed,completed,exact_match,exact_match,batch_05_start_020
23,gsm8k-0023,8,8,8,True,True,True,True,91,91,True,True,both_correct,5,20,completed,completed,exact_match,exact_match,batch_05_start_020
24,gsm8k-0024,26,26,26,True,True,True,True,156,156,False,True,both_correct,5,20,completed,completed,exact_match,exact_match,batch_05_start_020
25,gsm8k-0025,2,2,2,True,True,True,True,245,189,False,True,both_correct,6,25,completed,completed,exact_match,exact_match,batch_06_start_025
26,gsm8k-0026,243,243,243,True,True,True,True,144,144,True,True,both_correct,6,25,completed,completed,exact_match,exact_match,batch_06_start_025
27,gsm8k-0027,16,16,16,True,True,True,True,102,102,True,True,both_correct,6,25,completed,completed,exact_match,exact_match,batch_06_start_025
28,gsm8k-0028,25,25,25,True,True,True,True,94,94,True,True,both_correct,6,25,completed,completed,exact_match,exact_match,batch_06_start_025
29,gsm8k-0029,104,99,99,True,True,False,False,102,101,False,True,both_incorrect,6,25,completed,completed,incorrect,incorrect,batch_06_start_025
30,gsm8k-0030,109,109,109,True,True,True,True,193,187,False,True,both_correct,7,30,completed,completed,exact_match,exact_match,batch_07_start_030
31,gsm8k-0031,80,67,67,True,True,False,False,216,216,True,True,both_incorrect,7,30,completed,completed,incorrect,incorrect,batch_07_start_030
32,gsm8k-0032,35,260,260,True,True,False,False,122,122,True,True,both_incorrect,7,30,completed,completed,incorrect,incorrect,batch_07_start_030
33,gsm8k-0033,70,70,70,True,True,True,True,151,142,False,True,both_correct,7,30,completed,completed,exact_match,exact_match,batch_07_start_030
34,gsm8k-0034,23,23,23,True,True,True,True,112,112,True,True,both_correct,7,30,completed,completed,exact_match,exact_match,batch_07_start_030
35,gsm8k-0035,9,9,9,True,True,True,True,124,124,True,True,both_correct,8,35,completed,completed,exact_match,exact_match,batch_08_start_035
36,gsm8k-0036,75,75,75,True,True,True,True,106,101,False,True,both_correct,8,35,completed,completed,exact_match,exact_match,batch_08_start_035
37,gsm8k-0037,2,2,2,True,True,True,True,230,230,True,True,both_correct,8,35,completed,completed,exact_match,exact_match,batch_08_start_035
38,gsm8k-0038,10,10,10,True,True,True,True,197,197,True,True,both_correct,8,35,completed,completed,exact_match,exact_match,batch_08_start_035
39,gsm8k-0039,18,18,18,True,True,True,True,411,407,False,True,both_correct,8,35,completed,completed,exact_match,exact_match,batch_08_start_035
40,gsm8k-0040,8,8,8,True,True,True,True,101,101,True,True,both_correct,9,40,completed,completed,exact_match,exact_match,batch_09_start_040
41,gsm8k-0041,200,1200,1200,True,True,False,False,190,104,False,True,both_incorrect,9,40,completed,completed,incorrect,incorrect,batch_09_start_040
42,gsm8k-0042,26,26,26,True,True,True,True,153,165,False,True,both_correct,9,40,completed,completed,exact_match,exact_match,batch_09_start_040
43,gsm8k-0043,48,480,5,True,True,False,False,197,257,False,False,both_incorrect,9,40,completed,completed,incorrect,incorrect,batch_09_start_040
44,gsm8k-0044,20,30,30,True,True,False,False,194,195,False,True,both_incorrect,9,40,completed,completed,incorrect,incorrect,batch_09_start_040
45,gsm8k-0045,104,44,44,True,True,False,False,131,131,True,True,both_incorrect,10,45,completed,completed,incorrect,incorrect,batch_10_start_045
46,gsm8k-0046,163,277,277,True,True,False,False,91,91,True,True,both_incorrect,10,45,completed,completed,incorrect,incorrect,batch_10_start_045
47,gsm8k-0047,800,600,200,True,True,False,False,282,217,False,False,both_incorrect,10,45,completed,completed,incorrect,incorrect,batch_10_start_045
48,gsm8k-0048,8,8,8,True,True,True,True,121,121,True,True,both_correct,10,45,completed,completed,exact_match,exact_match,batch_10_start_045
49,gsm8k-0049,30,30,30,True,True,True,True,110,165,False,True,both_correct,10,45,completed,completed,exact_match,exact_match,batch_10_start_045
50,gsm8k-0050,294,294,294,True,True,True,True,174,174,True,True,both_correct,11,50,completed,completed,exact_match,exact_match,batch_11_start_050
51,gsm8k-0051,5,5,9,True,True,True,False,185,104,False,False,only_all_hot_correct,11,50,completed,completed,exact_match,incorrect,batch_11_start_050
52,gsm8k-0052,15,15,15,True,True,True,True,262,266,False,True,both_correct,11,50,completed,completed,exact_match,exact_match,batch_11_start_050
53,gsm8k-0053,40,40,40,True,True,True,True,214,216,False,True,both_correct,11,50,completed,completed,exact_match,exact_match,batch_11_start_050
54,gsm8k-0054,40,48,48,True,True,False,False,110,110,True,True,both_incorrect,11,50,completed,completed,incorrect,incorrect,batch_11_start_050
55,gsm8k-0055,14,14,14,True,True,True,True,64,84,False,True,both_correct,12,55,completed,completed,exact_match,exact_match,batch_12_start_055
56,gsm8k-0056,3,6,6,True,True,False,False,79,78,False,True,both_incorrect,12,55,completed,completed,incorrect,incorrect,batch_12_start_055
57,gsm8k-0057,83,249,83,True,True,False,True,216,195,False,False,only_mixed_correct,12,55,completed,completed,incorrect,exact_match,batch_12_start_055
58,gsm8k-0058,57,0,33,True,True,False,False,153,98,False,False,both_incorrect,12,55,completed,completed,incorrect,incorrect,batch_12_start_055
59,gsm8k-0059,187,187,187,True,True,True,True,98,98,False,True,both_correct,12,55,completed,completed,exact_match,exact_match,batch_12_start_055
60,gsm8k-0060,17,18,18,True,True,False,False,101,101,True,True,both_incorrect,13,60,completed,completed,incorrect,incorrect,batch_13_start_060
61,gsm8k-0061,1430,2600,2600,True,True,False,False,99,99,True,True,both_incorrect,13,60,completed,completed,incorrect,incorrect,batch_13_start_060
62,gsm8k-0062,25000,2500,2500,True,True,False,False,249,217,False,True,both_incorrect,13,60,completed,completed,incorrect,incorrect,batch_13_start_060
63,gsm8k-0063,1596,266,266,True,True,False,False,125,125,True,True,both_incorrect,13,60,completed,completed,incorrect,incorrect,batch_13_start_060
64,gsm8k-0064,300,8,200,True,True,False,False,130,215,False,False,both_incorrect,13,60,completed,completed,incorrect,incorrect,batch_13_start_060
65,gsm8k-0065,36,14,14,True,True,False,False,159,159,True,True,both_incorrect,14,65,completed,completed,incorrect,incorrect,batch_14_start_065
66,gsm8k-0066,48,88,88,True,True,False,False,138,138,True,True,both_incorrect,14,65,completed,completed,incorrect,incorrect,batch_14_start_065
67,gsm8k-0067,595,595,595,True,True,True,True,193,193,True,True,both_correct,14,65,completed,completed,exact_match,exact_match,batch_14_start_065
68,gsm8k-0068,36,24,36,True,True,False,True,69,202,False,False,only_mixed_correct,14,65,completed,completed,incorrect,exact_match,batch_14_start_065
69,gsm8k-0069,60,60,60,True,True,True,True,34,34,True,True,both_correct,14,65,completed,completed,exact_match,exact_match,batch_14_start_065
70,gsm8k-0070,7425,7425,20475,True,True,True,False,170,243,False,False,only_all_hot_correct,15,70,completed,completed,exact_match,incorrect,batch_15_start_070
71,gsm8k-0071,60,60,60,True,True,True,True,79,79,False,True,both_correct,15,70,completed,completed,exact_match,exact_match,batch_15_start_070
72,gsm8k-0072,221,221,221,True,True,True,True,98,98,True,True,both_correct,15,70,completed,completed,exact_match,exact_match,batch_15_start_070
73,gsm8k-0073,255,33,33,True,True,False,False,227,232,False,True,both_incorrect,15,70,completed,completed,incorrect,incorrect,batch_15_start_070
74,gsm8k-0074,88,55,624,True,True,False,False,168,98,False,False,both_incorrect,15,70,completed,completed,incorrect,incorrect,batch_15_start_070
75,gsm8k-0075,60,16,32,True,True,False,False,190,185,False,False,both_incorrect,16,75,completed,completed,incorrect,incorrect,batch_16_start_075
76,gsm8k-0076,5,10,10,True,True,False,False,165,165,True,True,both_incorrect,16,75,completed,completed,incorrect,incorrect,batch_16_start_075
77,gsm8k-0077,100,100,100,True,True,True,True,136,136,True,True,both_correct,16,75,completed,completed,exact_match,exact_match,batch_16_start_075
78,gsm8k-0078,6,6,6,True,True,True,True,161,111,False,True,both_correct,16,75,completed,completed,exact_match,exact_match,batch_16_start_075
79,gsm8k-0079,70,70,70,True,True,True,True,89,89,True,True,both_correct,16,75,completed,completed,exact_match,exact_match,batch_16_start_075
80,gsm8k-0080,10,10,14,True,True,True,False,188,166,False,False,only_all_hot_correct,17,80,completed,completed,exact_match,incorrect,batch_17_start_080
81,gsm8k-0081,17,17,17,True,True,True,True,147,147,True,True,both_correct,17,80,completed,completed,exact_match,exact_match,batch_17_start_080
82,gsm8k-0082,623,623,623,True,True,True,True,93,111,False,True,both_correct,17,80,completed,completed,exact_match,exact_match,batch_17_start_080
83,gsm8k-0083,600,600,600,True,True,True,True,66,78,False,True,both_correct,17,80,completed,completed,exact_match,exact_match,batch_17_start_080
84,gsm8k-0084,15,15,15,True,True,True,True,156,177,False,True,both_correct,17,80,completed,completed,exact_match,exact_match,batch_17_start_080
85,gsm8k-0085,44,128,128,True,True,False,False,10,10,True,True,both_incorrect,18,85,completed,completed,incorrect,incorrect,batch_18_start_085
86,gsm8k-0086,22,22,22,True,True,True,True,262,262,True,True,both_correct,18,85,completed,completed,exact_match,exact_match,batch_18_start_085
87,gsm8k-0087,9360,968,1068,True,True,False,False,258,293,False,False,both_incorrect,18,85,completed,completed,incorrect,incorrect,batch_18_start_085
88,gsm8k-0088,8000,8800,8000,True,True,False,True,115,163,False,False,only_mixed_correct,18,85,completed,completed,incorrect,exact_match,batch_18_start_085
89,gsm8k-0089,24,24,24,True,True,True,True,63,63,True,True,both_correct,18,85,completed,completed,exact_match,exact_match,batch_18_start_085
90,gsm8k-0090,225,225,225,True,True,True,True,235,235,True,True,both_correct,19,90,completed,completed,exact_match,exact_match,batch_19_start_090
91,gsm8k-0091,28,28,28,True,True,True,True,145,84,False,True,both_correct,19,90,completed,completed,exact_match,exact_match,batch_19_start_090
92,gsm8k-0092,4,4,4,True,True,True,True,230,230,True,True,both_correct,19,90,completed,completed,exact_match,exact_match,batch_19_start_090
93,gsm8k-0093,36,44,44,True,True,False,False,194,194,True,True,both_incorrect,19,90,completed,completed,incorrect,incorrect,batch_19_start_090
94,gsm8k-0094,348,168,168,True,True,False,False,176,176,False,True,both_incorrect,19,90,completed,completed,incorrect,incorrect,batch_19_start_090
95,gsm8k-0095,40,40,40,True,True,True,True,173,173,True,True,both_correct,20,95,completed,completed,exact_match,exact_match,batch_20_start_095
96,gsm8k-0096,3,3,3,True,True,True,True,75,75,True,True,both_correct,20,95,completed,completed,exact_match,exact_match,batch_20_start_095
97,gsm8k-0097,12,4,12,True,True,False,True,133,171,False,False,only_mixed_correct,20,95,completed,completed,incorrect,exact_match,batch_20_start_095
98,gsm8k-0098,5,25,25,True,True,False,False,244,176,False,True,both_incorrect,20,95,completed,completed,incorrect,incorrect,batch_20_start_095
99,gsm8k-0099,58,40,40,True,True,False,False,127,126,False,True,both_incorrect,20,95,completed,completed,incorrect,incorrect,batch_20_start_095
